"Login.dydy_love,""1_sexe~femme	"",""2_35	"",""3_langue_maternelle~Français	"",""4_	"",""5_profil_utilisateur~Chercheur(euse)	"",""6_apprenant~collège	"",""7_	"",""8_college~6e	"",""9_lycee~Seconde	"",""10_chinois_mandarin~lv1	"",""11_	"",""12_etablissement~université	"",""13_Sophia Antipolis	"",""14_Toulouse	"",""15_lea (langues etrangère appliquée)	"",""16_lansad (langue pour spécialistes des autres disciplines, langue en option)	"",""17_	"",""18_niveau~débutant	"",""19_kewen	"",""20_enseignant~Vacataire	"",""21_certifie~oui	"",""22_	"",""23_	"",""24_	"",""25_	"",""26_	"",""27_	"",""28_	"",""29_autre_etablissement~non	"",""30_	"",""31_	"",""32_	"",""33_	"",""34_	"",""35_	"",""36_contrat_doctoral~non	"",""37_	"",""38_	"",""39_	"",""40_	"",""41_	"",""42_	"",""43_	"",""44_	"",""45_	"",""46_	"",""47_	"",""48_	"",""49_chercheur_independant~oui	"",""50_	"",""51_Pour les enfants	"",""52_publication_anke~j’accepte	"",""53_publication_anke~s'engage	"",""54_Envoyer	"""
Login~dydy_love,"1_sexe~homme	","2_32	","3_langue_maternelle~Français	","4_	","5_profil_utilisateur~apprenant(e)	","6_apprenant~collège	","7_	","8_college~6e	","9_lycee~Seconde	","10_chinois_mandarin~lv1	","11_	","12_etablissement~école	","13_	","14_Nantes	","15_lea (langues etrangère appliquée)	","16_lansad (langue pour spécialistes des autres disciplines, langue en option)	","17_	","18_niveau~débutant	","19_hoa	","20_enseignant~Vacataire	","21_certifie~oui	","22_	","23_	","24_	","25_	","26_	","27_	","28_	","29_autre_etablissement~non	","30_	","31_	","32_	","33_	","34_	","35_	","36_contrat_doctoral~non	","37_	","38_	","39_	","40_	","41_	","42_	","43_	","44_	","45_	","46_	","47_	","48_	","49_chercheur_independant~oui	","50_	","51_Pour tout le monde	","52_publication_anke~j’accepte	","53_publication_anke~s'engage	","54_Envoyer	"
Login~dydy_love,"1_sexe~homme	","2_32	","3_langue_maternelle~Français	","4_	","5_profil_utilisateur~apprenant(e)	","6_apprenant~collège	","7_	","8_college~6e	","9_lycee~Seconde	","10_chinois_mandarin~lv1	","11_	","12_etablissement~école	","13_	","14_Nantes	","15_lea (langues etrangère appliquée)	","16_lansad (langue pour spécialistes des autres disciplines, langue en option)	","17_	","18_niveau~débutant	","19_hoa	","20_enseignant~Vacataire	","21_certifie~oui	","22_	","23_	","24_	","25_	","26_	","27_	","28_	","29_autre_etablissement~non	","30_	","31_	","32_	","33_	","34_	","35_	","36_contrat_doctoral~non	","37_	","38_	","39_	","40_	","41_	","42_	","43_	","44_	","45_	","46_	","47_	","48_	","49_chercheur_independant~oui	","50_	","51_Pour tout le monde	","52_publication_anke~j’accepte	","53_publication_anke~s'engage	","54_Envoyer	"
Login~dydy_love,"1_sexe~homme	","2_32	","3_langue_maternelle~Français	","4_	","5_profil_utilisateur~apprenant(e)	","6_apprenant~collège	","7_	","8_college~6e	","9_lycee~Seconde	","10_chinois_mandarin~lv1	","11_	","12_etablissement~école	","13_	","14_Nantes	","15_lea (langues etrangère appliquée)	","16_lansad (langue pour spécialistes des autres disciplines, langue en option)	","17_	","18_niveau~débutant	","19_hoa	","20_enseignant~Vacataire	","21_certifie~oui	","22_	","23_	","24_	","25_	","26_	","27_	","28_	","29_autre_etablissement~non	","30_	","31_	","32_	","33_	","34_	","35_	","36_contrat_doctoral~non	","37_	","38_	","39_	","40_	","41_	","42_	","43_	","44_	","45_	","46_	","47_	","48_	","49_chercheur_independant~oui	","50_	","51_Pour tout le monde	","52_publication_anke~j’accepte	","53_publication_anke~s'engage	","54_Envoyer	"
Login~dydy_love,"1_sexe~homme	","2_32	","3_langue_maternelle~Français	","4_	","5_profil_utilisateur~apprenant(e)	","6_apprenant~collège	","7_	","8_college~6e	","9_lycee~Seconde	","10_chinois_mandarin~lv1	","11_	","12_etablissement~école	","13_	","14_Nantes	","15_lea (langues etrangère appliquée)	","16_lansad (langue pour spécialistes des autres disciplines, langue en option)	","17_	","18_niveau~débutant	","19_hoa	","20_enseignant~Vacataire	","21_certifie~oui	","22_	","23_	","24_	","25_	","26_	","27_	","28_	","29_autre_etablissement~non	","30_	","31_	","32_	","33_	","34_	","35_	","36_contrat_doctoral~non	","37_	","38_	","39_	","40_	","41_	","42_	","43_	","44_	","45_	","46_	","47_	","48_	","49_chercheur_independant~oui	","50_	","51_Pour tout le monde	","52_publication_anke~j’accepte	","53_publication_anke~s'engage	","54_Envoyer	"
